Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Export Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%)
Jordan,Afghanistan,2018,Export,Food Products,28.14,2.82,0.79,,
Jordan,Angola,2018,Export,Food Products,850.38,48,8.16,3.04,-27.99
Jordan,United Arab Emirates,2018,Export,Food Products,18801.73,6,8.63,1.93,-9.35
Jordan,Argentina,2018,Export,Food Products,14.12,0.13,0.48,,
Jordan,Australia,2018,Export,Food Products,1626.01,27.26,0.72,2.74,4.5
Jordan,Austria,2018,Export,Food Products,234.69,15.82,1.39,4.11,-21.61
Jordan,Azerbaijan,2018,Export,Food Products,182.4,11.44,7.66,-0.65,81.28
Jordan,Belgium,2018,Export,Food Products,742.26,2.9,1.86,1.87,19.42
Jordan,Bangladesh,2018,Export,Food Products,273.67,3.79,,,
Jordan,Bulgaria,2018,Export,Food Products,670.41,56.25,0.37,6.02,107.69
Jordan,Bahrain,2018,Export,Food Products,3502.61,4.88,3.85,1.36,33.34
Jordan,Bosnia and Herzegovina,2018,Export,Food Products,38.81,3.13,0.38,,
Jordan,Brazil,2018,Export,Food Products,22.28,1.44,,,
Jordan,Canada,2018,Export,Food Products,1762.4,2.33,0.43,1.41,17.52
Jordan,Switzerland,2018,Export,Food Products,154.04,5.99,0.2,2.6,-17.62
Jordan,China,2018,Export,Food Products,293.31,0.26,0.15,9.11,213.1
Jordan,Cote d'Ivoire,2018,Export,Food Products,85.1,13.21,2.3,-1.08,-18.67
Jordan,Cameroon,2018,Export,Food Products,17.36,0.75,,,
Jordan,"Congo, Rep.",2018,Export,Food Products,13.77,7.13,,,
Jordan,Cyprus,2018,Export,Food Products,183.46,2.12,1.04,3.76,25.93
Jordan,Czech Republic,2018,Export,Food Products,60.76,10.4,1.03,4.32,0.53
Jordan,Germany,2018,Export,Food Products,9813.99,52.51,7.77,3.89,-14.89
Jordan,Djibouti,2018,Export,Food Products,2030.56,86.19,,,
Jordan,Dominica,2018,Export,Food Products,91.62,12.3,,,
Jordan,Denmark,2018,Export,Food Products,259.87,15.44,2.75,4.05,-9.44
Jordan,Algeria,2018,Export,Food Products,1585.13,1.7,,,
Jordan,"Egypt, Arab Rep.",2018,Export,Food Products,5715.12,3.98,1.49,-4.14,31.73
Jordan,Spain,2018,Export,Food Products,862.46,4.04,0.67,3.09,19.5
Jordan,Estonia,2018,Export,Food Products,7.99,2.03,0.73,-1.17,-47.09
Jordan,Ethiopia(excludes Eritrea),2018,Export,Food Products,214.65,5.99,,,
