Reporter Name,Partner Name,Year,Trade Flow,Product Group,Import (US$ Thousand),Import Product Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Jordan,Aruba,2018,Import,Food Products,18.66,0.66,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,United Arab Emirates,2018,Import,Food Products,85705.85,10.41,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Argentina,2018,Import,Food Products,151176.85,57.93,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Australia,2018,Import,Food Products,323.4,0.28,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Austria,2018,Import,Food Products,12207.14,15.35,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Belgium,2018,Import,Food Products,38293.75,25.81,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Bangladesh,2018,Import,Food Products,723.34,1.85,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Bulgaria,2018,Import,Food Products,3359.96,12.9,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Bahrain,2018,Import,Food Products,3881.47,3.54,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Belarus,2018,Import,Food Products,7.35,0.86,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Brazil,2018,Import,Food Products,20836.31,5.91,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Canada,2018,Import,Food Products,5703.14,12.34,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Switzerland,2018,Import,Food Products,10167.73,5.82,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Chile,2018,Import,Food Products,295.23,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,China,2018,Import,Food Products,18093.1,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Cote d'Ivoire,2018,Import,Food Products,514.16,66,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Colombia,2018,Import,Food Products,454.99,2.12,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Cuba,2018,Import,Food Products,45.39,64.43,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Cyprus,2018,Import,Food Products,717,1.42,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Czech Republic,2018,Import,Food Products,1781.16,4.39,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Germany,2018,Import,Food Products,31348.92,3.37,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Dominica,2018,Import,Food Products,17.06,1.64,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Denmark,2018,Import,Food Products,3567.28,4.25,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Algeria,2018,Import,Food Products,44093.94,55.33,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Ecuador,2018,Import,Food Products,144.35,2.46,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Egypt, Arab Rep.",2018,Import,Food Products,79934.4,14.32,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Spain,2018,Import,Food Products,19040.5,5.42,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Finland,2018,Import,Food Products,814.76,1.6,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,France,2018,Import,Food Products,37204.67,7.8,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Free Zones,2018,Import,Food Products,2165.47,1.96,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,United Kingdom,2018,Import,Food Products,33611.53,13.81,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Ghana,2018,Import,Food Products,1251.04,89.27,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Greece,2018,Import,Food Products,3634.07,6.84,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Guatemala,2018,Import,Food Products,205.33,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Hong Kong, China",2018,Import,Food Products,2.39,0.02,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Croatia,2018,Import,Food Products,10591.56,76.98,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Hungary,2018,Import,Food Products,737.59,2.39,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Indonesia,2018,Import,Food Products,21578.57,17.76,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,India,2018,Import,Food Products,40841.47,7.2,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Ireland,2018,Import,Food Products,52778.55,54.07,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Iran, Islamic Rep.",2018,Import,Food Products,3251.36,14.91,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Iraq,2018,Import,Food Products,114.08,4.96,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Israel,2018,Import,Food Products,11.49,0.08,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Italy,2018,Import,Food Products,29320.92,4.67,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Jamaica,2018,Import,Food Products,13.28,8.22,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Japan,2018,Import,Food Products,533.17,0.13,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Kenya,2018,Import,Food Products,21.29,0.14,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Cambodia,2018,Import,Food Products,98.87,5.63,,,,,,,,,,,,,,,,,,,,,,,,
